,Food&Drinks,AlcoholicItems,Cloothing&Footwear,Fuel&Power,HouseholdGoods,Health,Transport,Communication,Recreation&Culture,Education,Restaurants&Hotels,Goods&Services,AllExpenditure,OtherExpenditure,Total Exp,Income
704,8829,2034,4276,7418,4331,941,10449,2505,7196,678,6241,5411,60287,7224,67511,85064
705,60734,11912,23532,73721,36909,8104,82411,18552,76552,3515,47064,45209,488121,74990,563112,602530
706,172,41,76,198,112,15,226,54,208,12,146,126,1392,203,1595,1771
707,5581,1240,2152,6092,3766,638,7423,1659,6593,547,4423,3985,44094,6365,50460,59543
708,4891,1179,2168,5611,3191,451,6409,1543,5915,364,4154,3573,39438,5759,45197,52881
709,233,57,95,255,144,26,298,75,288,13,181,149,1821,262,2083,2083
710,3,0,1,3,1,0,4,1,3,0,2,2,24,3,28,32
711,7058,1332,2932,8572,5469,1055,10524,2196,10620,970,6258,5629,62600,10140,72740,93835
712,12621,2475,4890,15320,7670,1684,17126,3855,15908,730,9780,9394,101437,15583,117021,142766
713,2786,526,1157,3384,2159,416,4154,867,4192,383,2471,2222,24715,4003,28718,29867
714,314,59,130,381,243,46,468,97,472,43,278,250,2787,451,3238,3756
715,77,18,31,84,47,8,98,24,95,4,59,49,601,86,687,756
716,1574,336,617,1669,951,171,2163,499,1983,53,1195,1052,12267,1697,13965,17317
717,11078,2241,4537,14431,7561,1384,14850,3443,13975,1348,9456,8181,92492,14212,106704,133380
718,36499,7384,14948,47545,24913,4562,48926,11346,46045,4442,31156,26954,304726,46825,351551,355067
719,3122,589,1297,3792,2419,466,4655,971,4697,429,2768,2490,27691,4485,32177,41186
720,15358,3107,6290,20006,10483,1919,20587,4774,19375,1869,13110,11342,128225,19703,147928,186390
721,56,12,22,60,34,6,78,18,71,1,43,38,443,61,504,575
722,452,96,177,480,273,49,622,143,570,15,343,302,3529,488,4017,4098
723,216,40,90,263,167,32,323,67,326,29,192,172,1922,311,2234,2613
724,169,37,65,184,114,19,225,50,200,16,134,120,1337,193,1531,1638
725,3481,761,1420,4096,2694,384,4947,1120,4748,294,3148,2540,29644,4288,33932,37665
726,95,21,46,80,46,10,112,27,77,7,67,58,651,78,729,729
727,17581,3556,7200,22902,12000,2197,23567,5465,22179,2139,15008,12983,146785,22555,169340,198128
728,8075,1633,3307,10519,5512,1009,10825,2510,10187,982,6893,5963,67420,10360,77780,84003
729,836,178,327,886,505,90,1148,265,1053,28,634,558,6515,901,7416,8900
730,5731,1273,2210,6255,3867,655,7623,1704,6770,561,4542,4092,45280,6536,51817,52335
731,19771,4767,8764,22681,12900,1822,25906,6240,23908,1472,16792,14443,159402,23277,182680,191814
732,834,201,370,957,544,76,1093,263,1009,62,709,609,6730,982,7713,9873
733,1034,195,429,1256,801,154,1542,322,1556,142,917,825,9177,1486,10663,13542
734,1177,235,428,1351,692,156,1398,373,1341,103,824,787,8873,1293,10166,11284
735,1492,309,613,1881,997,183,1987,465,1859,165,1252,1081,12293,1861,14155,17835
736,11788,2225,4896,14316,9134,1762,17575,3668,17735,1620,10452,9401,104542,16934,121477,139698
737,5327,1082,1929,6698,3921,812,7711,1598,7187,480,4331,4156,45236,6776,52012,62415
738,271,55,98,340,199,41,392,81,365,24,220,211,2302,344,2647,2885
739,19389,3922,7940,25256,13234,2423,25990,6027,24459,2359,16550,14318,161873,24874,186748,231567
740,2065,389,857,2508,1600,308,3078,642,3107,283,1831,1647,18314,2966,21281,22983
741,96,21,37,105,65,11,128,28,114,9,76,69,765,110,876,981
742,167,34,60,210,123,25,242,50,226,15,136,130,1423,213,1636,2045
